1, 18, 21, 13, 16, 6, 32, 8, 9, 19, 7, 11, 34, 28, 15, 12, 29, 14, 35, 20, 3, 5, 23, 24, 25, 30, 27, 4, 33, 17, 10, 22, 26, 31, 2
21, 16, 27, 4, 1, 6, 17, 18, 9, 10, 5, 30, 13, 19, 35, 26, 15, 14, 31, 11, 20, 12, 22, 29, 32, 8, 28, 2, 23, 7, 25, 3, 33, 34, 24
7, 4, 9, 17, 5, 2, 15, 32, 19, 30, 23, 13, 24, 25, 33, 16, 8, 28, 35, 27, 11, 12, 20, 3, 29, 6, 14, 18, 34, 21, 22, 31, 1, 10, 26
11, 21, 29, 31, 5, 18, 8, 2, 9, 34, 4, 6, 19, 22, 27, 7, 30, 35, 32, 12, 28, 17, 23, 24, 25, 26, 15, 20, 33, 16, 14, 1, 3, 10, 13
32, 34, 29, 4, 9, 6, 7, 8, 30, 10, 1, 23, 20, 35, 25, 33, 5, 18, 12, 3, 15, 21, 16, 22, 24, 11, 2, 14, 13, 19, 26, 28, 31, 27, 17
28, 4, 34, 29, 33, 26, 12, 8, 9, 25, 27, 2, 18, 30, 23, 20, 31, 1, 15, 13, 21, 22, 14, 24, 17, 6, 10, 7, 3, 11, 16, 32, 5, 19, 35
15, 34, 17, 7, 18, 6, 33, 22, 8, 26, 35, 2, 4, 20, 5, 13, 32, 21, 3, 1, 10, 25, 23, 24, 28, 29, 27, 19, 9, 30, 31, 11, 16, 14, 12
11, 24, 21, 14, 9, 5, 35, 8, 3, 6, 34, 4, 27, 32, 15, 16, 25, 18, 17, 20, 33, 1, 30, 23, 10, 28, 13, 2, 22, 19, 7, 31, 12, 29, 26
28, 3, 21, 1, 16, 20, 17, 23, 34, 8, 22, 12, 13, 9, 26, 31, 33, 15, 4, 30, 7, 11, 19, 27, 35, 25, 2, 6, 14, 18, 24, 32, 10, 29, 5
15, 3, 11, 18, 2, 20, 23, 34, 29, 13, 1, 33, 9, 12, 32, 7, 5, 16, 19, 6, 4, 35, 10, 22, 25, 28, 14, 21, 30, 8, 24, 31, 26, 17, 27
12, 31, 4, 26, 5, 6, 27, 35, 10, 20, 11, 22, 2, 14, 29, 25, 8, 16, 15, 24, 13, 32, 23, 7, 17, 1, 30, 19, 18, 33, 28, 21, 34, 3, 9
1, 14, 29, 30, 34, 20, 33, 31, 6, 2, 17, 21, 15, 11, 22, 13, 12, 18, 10, 7, 27, 32, 23, 35, 25, 16, 5, 24, 3, 28, 19, 26, 8, 9, 4
