13, 16, 14, 3, 4, 29, 6, 9, 5, 19, 10, 11, 12, 26, 1, 27, 24, 17, 28, 2, 20, 0, 22, 21, 8, 7, 25, 15, 18, 23
18, 15, 8, 20, 5, 29, 25, 19, 24, 6, 11, 10, 16, 13, 26, 1, 21, 2, 14, 17, 0, 22, 12, 3, 9, 28, 4, 27, 23, 7
7, 1, 2, 10, 27, 15, 22, 20, 26, 9, 11, 3, 18, 25, 5, 17, 28, 19, 21, 0, 4, 8, 14, 23, 24, 29, 13, 12, 16, 6
27, 11, 7, 3, 26, 24, 21, 2, 8, 9, 29, 19, 20, 10, 13, 28, 4, 17, 18, 5, 12, 16, 23, 6, 22, 25, 14, 1, 15, 0
7, 10, 2, 25, 21, 1, 0, 5, 26, 15, 3, 8, 23, 6, 4, 12, 22, 9, 14, 19, 17, 24, 28, 20, 16, 13, 11, 27, 18, 29
21, 2, 9, 28, 27, 26, 6, 5, 3, 10, 20, 14, 17, 7, 13, 15, 16, 8, 23, 1, 12, 25, 19, 29, 22, 18, 11, 0, 24, 4
13, 1, 21, 8, 17, 23, 18, 2, 14, 16, 0, 5, 6, 27, 9, 24, 15, 4, 12, 10, 20, 28, 11, 26, 22, 25, 19, 3, 7, 29
3, 12, 18, 7, 25, 24, 6, 21, 14, 19, 8, 28, 1, 10, 17, 16, 2, 15, 23, 11, 20, 0, 22, 27, 9, 4, 26, 13, 5, 29
18, 1, 20, 22, 21, 26, 6, 19, 8, 11, 10, 15, 17, 13, 28, 12, 9, 2, 23, 4, 24, 27, 14, 25, 7, 3, 5, 0, 16, 29
1, 3, 17, 28, 21, 5, 6, 20, 4, 9, 10, 15, 12, 0, 25, 22, 23, 13, 18, 26, 14, 27, 24, 8, 7, 2, 16, 19, 29, 11
23, 14, 29, 0, 17, 7, 8, 18, 24, 9, 4, 1, 28, 2, 12, 15, 3, 26, 5, 13, 27, 21, 11, 22, 16, 25, 6, 19, 20, 10
0, 23, 4, 17, 29, 10, 16, 1, 24, 13, 2, 27, 8, 25, 12, 15, 9, 22, 5, 26, 18, 20, 7, 6, 3, 14, 21, 11, 28, 19
28, 24, 4, 3, 8, 27, 6, 21, 14, 9, 10, 5, 1, 2, 12, 20, 16, 11, 22, 26, 15, 13, 23, 19, 7, 25, 0, 29, 18, 17
25, 1, 17, 29, 4, 10, 11, 7, 8, 21, 6, 24, 19, 23, 14, 15, 26, 2, 5, 20, 16, 27, 9, 18, 12, 3, 22, 13, 28, 0
